,RNAME
5661,NIHT01000030.1
5662,NIHT01000014.1
5663,NIHT01000002.1
5664,NIHT01000046.1
5665,NIHT01000001.1
5666,NIHT01000001.1
5670,NIHT01000033.1
5671,NIHT01000017.1
5672,NIHT01000012.1
5674,NIHT01000013.1
5675,NIHT01000001.1
5676,NIHT01000014.1
5678,NIHT01000012.1
5679,NIHT01000038.1
5680,NIHT01000005.1
5681,NIHT01000033.1
5682,NIHT01000003.1
5684,NIHT01000002.1
5685,NIHT01000003.1
5686,NIHT01000013.1
5687,NIHT01000010.1
5688,NIHT01000010.1
5689,NIHT01000003.1
5690,NIHT01000002.1
5691,NIHT01000001.1
5692,NIHT01000035.1
5693,NIHT01000013.1
5694,NIHT01000026.1
5696,NIHT01000014.1
5697,NIHT01000024.1
5698,NIHT01000011.1
5700,NIHT01000013.1
5701,NIHT01000010.1
5703,NIHT01000021.1
5704,NIHT01000050.1
5705,NIHT01000021.1
5706,NIHT01000010.1
5707,NIHT01000010.1
5708,NIHT01000012.1
5709,NIHT01000002.1
5710,NIHT01000001.1
5711,NIHT01000016.1
5712,NIHT01000001.1
5713,NIHT01000001.1
5714,NIHT01000037.1
5715,NIHT01000005.1
5716,NIHT01000014.1
5718,NIHT01000001.1
5719,NIHT01000005.1
5723,NIHT01000014.1
5724,NIHT01000003.1
5725,NIHT01000001.1
5726,NIHT01000016.1
5727,NIHT01000003.1
5729,NIHT01000016.1
5730,NIHT01000024.1
5732,NIHT01000001.1
5734,NIHT01000026.1
5736,NIHT01000010.1
5737,NIHT01000009.1
5738,NIHT01000009.1
5739,NIHT01000002.1
5740,NIHT01000024.1
5741,NIHT01000002.1
5742,NIHT01000021.1
5743,NIHT01000023.1
5744,NIHT01000003.1
5745,NIHT01000020.1
5747,NIHT01000009.1
5748,NIHT01000018.1
5749,NIHT01000022.1
5750,NIHT01000001.1
5751,NIHT01000012.1
5753,NIHT01000024.1
5754,NIHT01000009.1
5755,NIHT01000009.1
5756,NIHT01000022.1
5757,NIHT01000002.1
5760,NIHT01000011.1
5761,NIHT01000011.1
5763,NIHT01000026.1
5764,NIHT01000001.1
5765,NIHT01000018.1
5766,NIHT01000002.1
5767,NIHT01000010.1
5769,NIHT01000003.1
5770,NIHT01000001.1
5771,NIHT01000013.1
5772,NIHT01000011.1
5773,NIHT01000062.1
5775,NIHT01000059.1
5776,NIHT01000009.1
5777,NIHT01000013.1
5778,NIHT01000016.1
5779,NIHT01000002.1
5780,NIHT01000014.1
5781,NIHT01000009.1
5782,NIHT01000001.1
5783,NIHT01000001.1
5784,NIHT01000019.1
5785,NIHT01000010.1
5786,NIHT01000023.1
5787,NIHT01000014.1
5789,NIHT01000026.1
5790,NIHT01000002.1
5791,NIHT01000034.1
5792,NIHT01000009.1
5793,NIHT01000010.1
5794,NIHT01000014.1
5795,NIHT01000010.1
5796,NIHT01000015.1
5797,NIHT01000032.1
5798,NIHT01000020.1
5800,NIHT01000022.1
5801,NIHT01000003.1
5802,NIHT01000018.1
5803,NIHT01000014.1
5804,NIHT01000001.1
5805,NIHT01000001.1
5806,NIHT01000015.1
5807,NIHT01000003.1
5809,NIHT01000003.1
5810,NIHT01000002.1
5811,NIHT01000076.1
5812,NIHT01000010.1
5813,NIHT01000001.1
5814,NIHT01000010.1
5817,NIHT01000011.1
5818,NIHT01000023.1
5819,NIHT01000002.1
5820,NIHT01000071.1
5821,NIHT01000003.1
5822,NIHT01000012.1
5823,NIHT01000052.1
5825,NIHT01000014.1
5826,NIHT01000005.1
5827,NIHT01000021.1
5828,NIHT01000010.1
5829,NIHT01000013.1
5831,NIHT01000010.1
5833,NIHT01000017.1
5834,NIHT01000005.1
5836,NIHT01000015.1
5837,NIHT01000016.1
5838,NIHT01000058.1
5839,NIHT01000017.1
5840,NIHT01000012.1
5841,NIHT01000002.1
5842,NIHT01000013.1
5843,NIHT01000016.1
5844,NIHT01000001.1
5845,NIHT01000025.1
5846,NIHT01000002.1
5847,NIHT01000019.1
5848,NIHT01000022.1
5849,NIHT01000009.1
5851,NIHT01000017.1
5852,NIHT01000016.1
5853,NIHT01000010.1
5854,NIHT01000021.1
5855,NIHT01000017.1
5856,NIHT01000001.1
5858,NIHT01000014.1
5859,NIHT01000081.1
5860,NIHT01000015.1
5861,NIHT01000019.1
5862,NIHT01000001.1
5863,NIHT01000010.1
5864,NIHT01000002.1
5865,NIHT01000023.1
5866,NIHT01000012.1
5868,NIHT01000032.1
5869,NIHT01000012.1
5870,NIHT01000021.1
5871,NIHT01000005.1
5872,NIHT01000031.1
5874,NIHT01000009.1
5875,NIHT01000009.1
5876,NIHT01000010.1
5877,NIHT01000009.1
5878,NIHT01000028.1
5879,NIHT01000011.1
5880,NIHT01000001.1
5881,NIHT01000018.1
5883,NIHT01000017.1
5884,NIHT01000005.1
5885,NIHM01000009.1
5886,NIHM01000005.1
5887,NIHM01000008.1
5888,NIHM01000009.1
5890,NIHM01000003.1
5891,NIHM01000001.1
5892,NIHM01000014.1
5893,NIHM01000017.1
5895,NIHM01000002.1
5896,NIHM01000009.1
5897,NIHM01000001.1
5898,NIHM01000003.1
5899,NIHM01000020.1
5900,NIHM01000001.1
5901,NIHM01000023.1
5902,NIHM01000008.1
5903,NIHM01000005.1
5905,NIHM01000001.1
5906,NIHM01000007.1
5907,NIHM01000002.1
5908,NIHM01000012.1
5909,NIHM01000002.1
5910,NIHM01000002.1
5911,NIHM01000008.1
5912,NIHM01000002.1
5913,NIHM01000009.1
5915,NIHM01000034.1
5916,NIHM01000002.1
5917,NIHM01000008.1
5918,NIHM01000001.1
5919,NIHM01000031.1
5920,NIHM01000008.1
5921,NIHM01000015.1
5923,NIHM01000023.1
5924,NIHM01000007.1
5925,NIHM01000045.1
5926,NIHM01000019.1
5927,NIHM01000018.1
5928,NIHM01000067.1
5929,NIHM01000012.1
5930,NIHM01000002.1
5931,NIHM01000013.1
5932,NIHM01000017.1
5933,NIHM01000013.1
5934,NIHM01000001.1
5936,NIHM01000001.1
5937,NIHM01000003.1
5938,NIHM01000005.1
5939,NIHM01000007.1
5940,NIHM01000013.1
5941,NIHM01000001.1
5942,NIHM01000002.1
5943,NIHM01000012.1
5944,NIHM01000002.1
5945,NIHM01000016.1
5946,NIHM01000002.1
5947,NIHM01000005.1
5948,NIHM01000019.1
5949,NIHM01000001.1
5950,NIHM01000007.1
5952,NIHM01000003.1
5953,NIHM01000014.1
5954,NIHM01000013.1
5956,NIHM01000023.1
5957,NIHM01000005.1
5958,NIHM01000008.1
5959,NIHM01000012.1
5960,NIHM01000017.1
5961,NIHM01000007.1
5962,NIHM01000012.1
5964,NIHM01000009.1
5965,NIHM01000002.1
5966,NIHM01000005.1
5968,NIHM01000003.1
5969,NIHM01000008.1
5970,NIHM01000007.1
5971,NIHM01000014.1
5972,NIHM01000014.1
5973,NIHM01000011.1
5974,NIHM01000007.1
5975,NIHM01000003.1
5976,NIHM01000002.1
5977,NIHM01000012.1
5978,NIHM01000003.1
5979,NIHM01000009.1
5980,NIHM01000014.1
5981,NIHM01000020.1
5982,NIHM01000009.1
5983,NIHM01000020.1
5984,NIHM01000003.1
5985,NIHM01000015.1
5986,NIHM01000001.1
5987,NIHM01000023.1
5988,NIHM01000001.1
5989,NIHM01000014.1
5990,NIHM01000058.1
5991,NIHM01000008.1
5992,NIHM01000003.1
5993,NIHM01000001.1
5995,NIHM01000001.1
5996,NIHM01000007.1
5997,NIHM01000005.1
5998,NIHM01000009.1
5999,NIHM01000015.1
6000,NIHM01000001.1
6001,NIHM01000002.1
6002,NIHM01000009.1
6005,NIHM01000003.1
6006,NIHM01000012.1
6007,NIHM01000007.1
6008,NIHM01000027.1
6009,NIHM01000014.1
6011,NIHM01000003.1
6012,NIHM01000027.1
6013,NIHM01000042.1
6014,NIHM01000036.1
6015,NIHM01000015.1
6016,NIHM01000001.1
6017,NIHM01000011.1
6018,NIHM01000003.1
6019,NIHM01000009.1
6020,NIHM01000009.1
6021,NIHM01000009.1
6022,NIHM01000001.1
6023,NIHM01000001.1
6024,NIHM01000009.1
6025,NIHM01000012.1
6026,NIHM01000065.1
6027,NIHM01000015.1
6028,NIHM01000050.1
6029,NIHM01000019.1
6030,NIHM01000010.1
6031,NIHM01000003.1
6032,NIHM01000035.1
6033,NIHM01000001.1
6034,NIHM01000013.1
6035,NIHM01000001.1
6036,NIHM01000025.1
6037,NIHM01000001.1
6038,NIHM01000008.1
6039,NIHM01000018.1
6041,NIHM01000019.1
6042,NIHM01000015.1
6043,NIHM01000011.1
6044,NIHM01000005.1
6045,NIHM01000012.1
6046,NIHM01000018.1
6047,NIHM01000007.1
6048,NIHM01000039.1
6049,NIHM01000005.1
6050,NIHM01000018.1
6051,NIHM01000077.1
6052,NIHM01000026.1
6053,NIHM01000001.1
6054,NIHM01000028.1
6055,NIHM01000016.1
6056,NIHM01000007.1
6057,NIHM01000001.1
6058,NIHM01000017.1
6059,NIHM01000003.1
6060,NIHM01000001.1
6061,NIHM01000001.1
6062,NIHM01000002.1
6063,NIHM01000019.1
6064,NIHM01000018.1
6066,NIHM01000012.1
6067,NIHM01000013.1
6068,NIHM01000010.1
6069,NIHM01000032.1
6070,NIHM01000031.1
6072,NIHM01000025.1
6073,NIHM01000014.1
6074,NIHM01000001.1
6075,NIHM01000011.1
6076,NIHM01000001.1
6077,NIHM01000010.1
6078,NIHM01000007.1
6080,NIHM01000003.1
6081,NIHM01000018.1
6082,NIHM01000003.1
6083,NIHM01000001.1
6084,NIHM01000020.1
6085,NIHM01000016.1
6086,NIHM01000008.1
6088,NIHM01000012.1
6089,NIHM01000001.1
6090,NIHM01000024.1
6091,NIHM01000069.1
6092,NIHM01000009.1
6093,NIHM01000007.1
6094,NIHM01000010.1
6095,NIHM01000022.1
6096,NIHM01000016.1
6097,NIHM01000043.1
6099,NIHM01000018.1
6100,NIHM01000020.1
6101,NIHM01000008.1
6103,NIHM01000001.1
6104,NIHM01000001.1
6105,NIHM01000001.1
6107,NIHM01000013.1
6108,NIHM01000005.1
6109,NIHM01000046.1
6110,NIHM01000009.1
6111,NIHM01000010.1
6112,NIHM01000001.1
6113,NIHM01000005.1
6114,NIHM01000008.1
6115,NIHM01000037.1
6116,NIHM01000024.1
6117,NIHM01000020.1
6118,NIHM01000005.1
6119,NIHM01000018.1
6120,NIHM01000005.1
6121,NIHM01000022.1
6122,NIHM01000005.1
6123,NIHM01000026.1
6124,NIHM01000001.1
6125,NIHM01000001.1
6126,NIHM01000023.1
6127,NIHM01000026.1
6128,NIHM01000009.1
6129,NIHM01000034.1
6130,NIHM01000003.1
6132,NIHM01000023.1
6133,NIHM01000005.1
6134,NIHM01000015.1
6135,NIHM01000010.1
6136,NIHM01000020.1
6137,NIHM01000012.1
6138,NIHM01000026.1
6139,NIHM01000008.1
6140,NIHM01000001.1
6141,NIHM01000003.1
6142,NIHM01000013.1
6144,NIHM01000001.1
6145,NIHM01000045.1
6146,NIHM01000009.1
6147,NIHM01000011.1
6148,NIHM01000010.1
6149,NIHM01000022.1
6151,NIHM01000013.1
6154,NIHM01000010.1
6155,NIHM01000024.1
6156,NIHM01000029.1
6159,NIHM01000018.1
6160,NIHM01000013.1
6161,NIHM01000015.1
6162,NIHM01000008.1
6163,NIHM01000014.1
6164,NIHM01000030.1
6165,NIHM01000002.1
6166,NIHM01000003.1
6167,NIHM01000001.1
6168,NIHM01000002.1
6170,NIHM01000014.1
6171,NIHM01000001.1
6172,NIHM01000030.1
6173,NIHM01000022.1
6174,NIHM01000033.1
6175,NIHM01000001.1
6176,NIHM01000011.1
6177,NIHM01000014.1
6178,NIHM01000001.1
6179,NIHM01000007.1
6180,NIHM01000014.1
6181,NIHM01000011.1
6182,NIHM01000003.1
6184,NIHM01000001.1
6185,NIHM01000047.1
6186,NIHM01000003.1
6187,NIHM01000002.1
6188,NIHM01000011.1
6189,NIHM01000036.1
6190,NIHM01000010.1
6191,NIHM01000019.1
6192,NIHM01000007.1
6193,NIHM01000001.1
6194,NIHM01000019.1
6195,NIHM01000008.1
6196,NIHM01000003.1
6197,NIHM01000018.1
6198,NIHM01000043.1
6199,NIHM01000007.1
6200,NIHM01000001.1
6201,NIHM01000008.1
6202,NIHM01000002.1
6203,NIHM01000002.1
6204,NIHM01000025.1
6205,NIHM01000005.1
6206,NIHM01000009.1
6208,NIHM01000007.1
6209,NIHM01000001.1
6210,NIHM01000003.1
6211,NIHM01000015.1
6212,NIHM01000012.1
6213,NIHM01000009.1
6216,NIHM01000009.1
6217,NIHM01000023.1
6218,NIHM01000005.1
6219,NIHM01000001.1
6220,NIHM01000019.1
6221,NIHM01000014.1
6222,NIHM01000015.1
6223,NIHM01000007.1
6224,NIHM01000005.1
6225,NIHM01000002.1
6226,NIHM01000016.1
6227,NIHM01000008.1
6228,NIHM01000002.1
6229,NIHM01000013.1
6230,NIHM01000020.1
6231,NIHM01000015.1
6232,NIHM01000003.1
6234,NIHM01000017.1
6235,NIHM01000009.1
6236,NIHM01000019.1
6238,NIHM01000003.1
6239,NIHM01000009.1
6240,NIHM01000017.1
6241,NIHM01000005.1
6242,NIHM01000023.1
6243,NIHM01000036.1
6244,NIHM01000003.1
6245,NIHM01000016.1
6246,NIHM01000033.1
6247,NIHM01000063.1
6249,NIHM01000007.1
6250,NIHM01000012.1
6251,NIHM01000003.1
6252,NIHM01000010.1
6253,NIHM01000011.1
6254,NIHM01000030.1
6255,NIHM01000024.1
6256,NIHM01000003.1
6257,NIHM01000003.1
6259,NIHM01000007.1
6260,NIHM01000007.1
6261,NIHM01000009.1
6262,NIHM01000016.1
6264,NIHM01000017.1
6265,NIHM01000012.1
6266,NIHM01000030.1
6267,NIHM01000009.1
6268,NIHM01000001.1
6269,NIHM01000019.1
6270,NIHM01000015.1
6271,NIHM01000010.1
6273,NIHM01000012.1
6274,NIHM01000001.1
6275,NIHM01000023.1
6276,NIHM01000001.1
6277,NIHM01000010.1
6279,NIHM01000001.1
6280,NIHM01000003.1
6281,NIHM01000013.1
6282,NIHM01000010.1
6283,NIHM01000002.1
6284,NIHM01000011.1
6285,NIHM01000011.1
6286,NIHM01000001.1
6290,NIHM01000008.1
6291,NIHM01000008.1
6292,NIHM01000005.1
6293,NIHM01000009.1
6294,NIHM01000013.1
6296,NIHM01000007.1
6297,NIHM01000008.1
6300,NIHM01000002.1
6301,NIHM01000033.1
6302,NIHM01000008.1
6303,NIHM01000017.1
6304,NIHM01000014.1
6305,NIHM01000023.1
6306,NIHM01000005.1
6307,NIHM01000003.1
6309,NIHM01000020.1
6310,NIHM01000007.1
6311,NIHM01000012.1
6312,NIHM01000003.1
6313,NIHM01000019.1
6314,NIHM01000007.1
6315,NIHM01000017.1
6316,NIHM01000010.1
6317,NIHM01000003.1
6318,NIHM01000009.1
6319,NIHM01000026.1
6321,NIHM01000018.1
6322,NIHM01000002.1
6323,NIHM01000030.1
6324,NIHM01000011.1
6325,NIHM01000002.1
6326,NIHM01000003.1
6327,NIHM01000012.1
6328,NIHM01000034.1
6329,NIHM01000009.1
6330,NIHM01000035.1
6331,NIHM01000011.1
6332,NIHM01000010.1
6333,NIHM01000024.1
6334,NIHM01000015.1
6335,NIHM01000005.1
6336,NIHM01000023.1
6337,NIHM01000001.1
6338,NIHM01000008.1
6339,NIHM01000010.1
6340,NIHM01000015.1
6341,NIHM01000001.1
6342,NIHM01000017.1
6344,NIHM01000038.1
6345,NIHM01000015.1
6346,NIHM01000018.1
6347,NIHM01000005.1
6348,NIHM01000007.1
6350,NIHM01000028.1
6351,NIHM01000002.1
6352,NIHM01000008.1
6353,NIHM01000015.1
6354,NIHM01000002.1
6355,NIHM01000008.1
6356,NIHM01000012.1
6357,NIHM01000002.1
6358,NIHM01000011.1
6359,NIHM01000001.1
6360,NIHM01000012.1
6361,NIHM01000001.1
6362,NIHM01000001.1
6363,NIHM01000002.1
6364,NIHM01000005.1
6365,NIHM01000007.1
6366,NIHM01000001.1
6367,NIHM01000016.1
6368,NIHM01000005.1
6369,NIHM01000005.1
6370,NIHM01000019.1
6371,NIHM01000028.1
6372,NIHM01000012.1
6373,NIHM01000022.1
6374,NIHM01000028.1
6375,NIHM01000002.1
6376,NIHM01000033.1
6377,NIHM01000001.1
6378,NIHM01000016.1
6380,NIHM01000005.1
6381,NIHM01000009.1
6382,NIHM01000018.1
6383,NIHM01000001.1
6384,NIHM01000031.1
6385,NIHM01000022.1
6387,NIHM01000002.1
6388,NIHM01000002.1
6389,NIHM01000015.1
6390,NIHM01000070.1
6391,NIHM01000003.1
6393,NIHM01000003.1
6394,NIHM01000027.1
6395,NIHM01000011.1
6398,NIHM01000008.1
6399,NIHM01000003.1
6400,NIHM01000002.1
6401,NIHM01000001.1
6403,NIHM01000002.1
6404,NIHM01000008.1
6406,NIHM01000011.1
6407,NIHM01000011.1
6409,NIHM01000011.1
6410,NIHM01000013.1
6411,NIHM01000008.1
6412,NIHM01000023.1
6413,NIHM01000013.1
6414,NIHM01000002.1
6415,NIHM01000002.1
6416,NIHM01000013.1
6417,NIHM01000005.1
6418,NIHM01000020.1
6419,NIHM01000011.1
6420,NIHM01000016.1
6421,NIHM01000017.1
6422,NIHM01000001.1
6423,NIHM01000014.1
6425,NIHM01000022.1
6428,NIHM01000017.1
6430,NIHM01000005.1
6431,NIHM01000014.1
6432,NIHM01000013.1
6433,NIHM01000007.1
6434,NIHM01000020.1
6435,NIHM01000002.1
6436,NIHM01000018.1
6437,NIHM01000013.1
6438,NIHM01000010.1
6439,NIHM01000016.1
6440,NIHM01000001.1
6441,NIHM01000028.1
6442,NIHM01000002.1
6443,NIHM01000003.1
6444,NIHM01000009.1
6445,NIHM01000003.1
6446,NIHM01000001.1
6447,NIHM01000001.1
6448,NIHM01000013.1
6449,NIHM01000026.1
6450,NIHM01000008.1
6451,NIHM01000002.1
6453,NIHM01000007.1
6454,NIHM01000005.1
6456,NIHM01000010.1
6458,NIHM01000009.1
6459,NIHM01000023.1
6460,NIHM01000001.1
6461,NIHM01000022.1
6462,NIHM01000001.1
6463,NIHM01000043.1
6464,NIHM01000010.1
6465,NIHM01000007.1
6466,NIHM01000010.1
6467,NIHM01000002.1
6468,NIHM01000003.1
6469,NIHM01000005.1
6470,NIHM01000019.1
6471,NIHM01000010.1
6472,NIHM01000002.1
6473,NIHM01000015.1
6474,NIHM01000003.1
6475,NIHM01000001.1
6476,NIHM01000011.1
6479,NIHM01000008.1
6481,NIHM01000023.1
6482,NIHM01000003.1
6484,NIHM01000009.1
6485,NIHM01000007.1
6486,NIHM01000012.1
6487,NIHM01000045.1
6489,NIHM01000009.1
6490,NIHM01000029.1
6491,NIHM01000005.1
6492,NIHM01000014.1
6493,NIHM01000010.1
6494,NIHM01000009.1
6496,NIHM01000007.1
6498,NIHM01000007.1
6499,NIHM01000044.1
6500,NIHM01000002.1
6501,NIHM01000013.1
6502,NIHM01000010.1
6503,NIHM01000003.1
6505,NIHM01000001.1
6506,NIHM01000011.1
6508,NIHM01000022.1
6509,NIHM01000025.1
6510,NIHM01000011.1
6512,NIHM01000005.1
6513,NIHM01000001.1
6514,NIHM01000001.1
6515,NIHM01000001.1
6516,NIHM01000003.1
6517,NIHM01000003.1
6518,NIHM01000015.1
6519,NIHM01000011.1
6520,NIHM01000001.1
6521,NIHM01000005.1
6523,NIHM01000016.1
6524,NIHM01000023.1
6525,NIHM01000011.1
6526,NIHM01000009.1
6527,NIHM01000018.1
6528,NIHM01000016.1
6529,NIHM01000010.1
6531,NIHM01000023.1
6532,NIHM01000013.1
6533,NIHM01000008.1
6534,NIHM01000005.1
6535,NIHM01000003.1
6536,NIHM01000009.1
6537,NIHM01000012.1
6538,NIHM01000026.1
6541,NIHM01000005.1
6542,NIHM01000019.1
6543,NIHM01000045.1
6545,NIHM01000010.1
6546,NIHM01000020.1
6547,NIHM01000012.1
6548,NIHM01000009.1
6549,NIHM01000019.1
6550,NIHM01000010.1
6551,NIHM01000007.1
6552,NIHM01000003.1
6553,NIHM01000003.1
6554,NIHM01000003.1
6555,NIHM01000010.1
6556,NIHM01000005.1
6557,NIHM01000042.1
6558,NIHM01000014.1
6560,NIHM01000003.1
6561,NIHM01000020.1
6562,NIHM01000019.1
6563,NIHM01000001.1
6564,NIHM01000016.1
6565,NIHM01000009.1
6566,NIHM01000001.1
6567,NIHM01000026.1
6568,NIHM01000002.1
6570,NIHM01000001.1
6571,NIHM01000001.1
6573,NIHM01000008.1
6574,NIHM01000010.1
6575,NIHM01000013.1
6577,NIHM01000005.1
6578,NIHM01000018.1
6579,NIHM01000016.1
6580,NIHM01000013.1
6582,NIHM01000018.1
6583,NIHM01000010.1
6585,NIHM01000023.1
6587,NIHM01000032.1
6588,NIHM01000014.1
6590,NIHM01000001.1
6592,NIHM01000009.1
6593,NIHM01000005.1
6594,NIHM01000007.1
6595,NIHM01000017.1
6596,NIHM01000034.1
6597,NIHM01000002.1
6598,NIHM01000020.1
6599,NIHM01000008.1
6600,NIHM01000027.1
6601,NIHM01000012.1
6602,NIHM01000010.1
6603,NIHM01000014.1
6604,NIHM01000001.1
6605,NIHM01000002.1
6606,NIHM01000024.1
6607,NIHM01000001.1
6608,NIHM01000038.1
6609,NIHM01000003.1
6610,NIHM01000014.1
6611,NIHM01000011.1
6612,NIHM01000008.1
6615,NIHM01000007.1
6616,NIHM01000003.1
6617,NIHM01000011.1
6618,NIHM01000007.1
6619,NIHM01000017.1
6620,NIHM01000011.1
6621,NIHM01000030.1
6622,NIHM01000005.1
6623,NIHM01000018.1
6624,NIHM01000034.1
6625,NIHM01000005.1
6626,NIHM01000007.1
6627,NIHM01000007.1
6629,NIHM01000008.1
6630,NIHM01000001.1
6631,NIHM01000002.1
6632,NIHM01000017.1
6633,NIHM01000037.1
6634,NIHM01000002.1
6635,NIHM01000019.1
6636,NIHM01000022.1
6637,NIHM01000039.1
6638,NIHM01000001.1
6639,NIHM01000003.1
6640,NIHM01000002.1
6641,NIHM01000023.1
6642,NIHM01000001.1
6643,NIHM01000010.1
6644,NIHM01000033.1
6645,NIHM01000003.1
6646,NIHM01000005.1
6647,NIHM01000005.1
6649,NIHM01000026.1
6650,NIHM01000001.1
6651,NIHM01000005.1
6652,NIHM01000005.1
6653,NIHM01000003.1
6654,NIHM01000001.1
6655,NIHM01000007.1
6656,NIHM01000010.1
6657,NIHM01000001.1
6658,NIHM01000001.1
6659,NIHM01000032.1
6660,NIHM01000010.1
6661,NIHM01000013.1
6663,NIHM01000001.1
6664,NIHM01000002.1
6665,NIHM01000020.1
6666,NIHM01000007.1
6667,NIHM01000010.1
6668,NIHM01000016.1
6672,NIHM01000017.1
6674,NIHM01000011.1
6675,NIHM01000014.1
6676,NIHM01000045.1
6677,NIHM01000011.1
6678,NIHM01000014.1
6679,NIHM01000020.1
6680,NIHM01000005.1
6681,NIHM01000009.1
6683,NIHM01000005.1
6685,NIHM01000005.1
6686,NIHM01000017.1
6687,NIHM01000013.1
6688,NIHM01000009.1
6689,NIHM01000008.1
6690,NIHM01000010.1
6692,NIHM01000011.1
6693,NIHM01000023.1
6694,NIHM01000003.1
6695,NIHM01000001.1
6697,NIHM01000010.1
6698,NIHM01000040.1
6699,NIHM01000001.1
6700,NIHM01000001.1
6701,NIHM01000027.1
6702,NIHM01000017.1
6703,NIHM01000001.1
6704,NIHM01000007.1
6705,NIHM01000033.1
6706,NIHM01000007.1
6708,NIHM01000036.1
6709,NIHM01000002.1
6710,NIHM01000052.1
6711,NIHM01000001.1
6713,NIHM01000018.1
6714,NIHM01000012.1
6715,NIHM01000003.1
6716,NIHM01000003.1
6717,NIHM01000001.1
6718,NIHM01000014.1
6719,NIHM01000016.1
6720,NIHM01000015.1
6721,NIHM01000019.1
6722,NIHM01000008.1
6723,NIHM01000022.1
6724,NIHM01000007.1
6725,NIHM01000042.1
6726,NIHM01000002.1
6727,NIHM01000001.1
6728,NIHM01000005.1
6730,NIHM01000052.1
6731,NIHM01000050.1
6732,NIHM01000060.1
6733,NIHM01000002.1
6734,NIHM01000013.1
6735,NIHM01000018.1
6736,NIHM01000009.1
6739,NIHM01000002.1
6740,NIHM01000048.1
6741,NIHM01000023.1
6742,NIHM01000002.1
6743,NIHM01000002.1
6744,NIHM01000012.1
6745,NIHM01000010.1
6746,NIHM01000015.1
6747,NIHM01000003.1
6748,NIHM01000001.1
6749,NIHM01000014.1
6750,NIHM01000011.1
6751,NIHM01000009.1
6752,NIHM01000012.1
6753,NIHM01000017.1
6754,NIHM01000015.1
6755,NIHM01000010.1
6756,NIHM01000007.1
6757,NIHM01000012.1
6758,NIHM01000002.1
6759,NIHM01000037.1
6760,NIHM01000005.1
6761,NIHM01000012.1
6762,NIHM01000001.1
6764,NIHM01000022.1
6765,NIHM01000001.1
6766,NIHM01000048.1
6767,NIHM01000012.1
6768,NIHM01000008.1
6769,NIHM01000009.1
6770,NIHM01000022.1
6771,NIHM01000001.1
6772,NIHM01000003.1
6774,NIHM01000002.1
6775,NIHM01000039.1
6776,NIHM01000001.1
6777,NIHM01000035.1
6779,NIHM01000002.1
6782,NIHM01000035.1
6783,NIHM01000008.1
6785,NIHM01000001.1
6786,NIHM01000035.1
6788,NIHM01000001.1
6789,NIHM01000022.1
6791,NIHM01000032.1
6792,NIHM01000054.1
6793,NIHM01000007.1
6794,NIHM01000017.1
6795,NIHM01000014.1
6796,NIHM01000001.1
6797,NIHM01000008.1
6798,NIHM01000038.1
6800,NIHM01000019.1
6801,NIHM01000005.1
6802,NIHM01000008.1
6803,NIHM01000022.1
6804,NIHM01000002.1
6805,NIHM01000001.1
6806,NIHM01000001.1
6807,NIHM01000016.1
6808,NIHM01000007.1
6809,NIHM01000014.1
6810,NIHM01000001.1
6811,NIHM01000023.1
6812,NIHM01000002.1
6814,NIHM01000005.1
6815,NIHM01000009.1
6816,NIHM01000002.1
6817,NIHM01000011.1
6818,NIHM01000026.1
6819,NIHM01000010.1
6820,NIHM01000002.1
6821,NIHM01000012.1
6823,NIHM01000012.1
6824,NIHM01000020.1
6826,NIHM01000022.1
6827,NIHM01000003.1
6828,NIHM01000008.1
6829,NIHM01000008.1
6830,NIHM01000005.1
6831,NIHM01000001.1
6832,NIHM01000003.1
6833,NIHM01000024.1
6834,NIHM01000029.1
6837,NIHM01000015.1
6839,NIHM01000039.1
6840,NIHM01000001.1
6841,NIHM01000015.1
6842,NIHM01000013.1
6843,NIHM01000001.1
6844,NIHM01000022.1
6845,NIHM01000001.1
6846,NIHM01000003.1
6847,NIHM01000011.1
6848,NIHM01000003.1
6849,NIHM01000012.1
6850,NIHM01000018.1
6851,NIHM01000043.1
6854,NIHM01000016.1
6855,NIHM01000012.1
6856,NIHM01000005.1
6857,NIHM01000014.1
6859,NIHM01000031.1
6860,NIHM01000008.1
6861,NIHM01000007.1
6862,NIHM01000015.1
6863,NIHM01000008.1
6864,NIHM01000013.1
6865,NIHM01000033.1
6866,NIHM01000009.1
6867,NIHM01000001.1
6868,NIHM01000005.1
6869,NIHM01000001.1
6870,NIHM01000003.1
6871,NIHM01000001.1
6873,NIHM01000022.1
6874,NIHM01000002.1
6875,NIHM01000007.1
6878,NIHM01000014.1
6879,NIHM01000025.1
6880,NIHM01000010.1
6881,NIHM01000001.1
6882,NIHM01000001.1
6883,NIHM01000039.1
6884,NIHM01000029.1
6885,NIHM01000022.1
6886,NIHM01000013.1
6887,NIHM01000009.1
6888,NIHM01000002.1
6889,NIHM01000005.1
6890,NIHM01000008.1
6893,NIHM01000003.1
6894,NIHM01000030.1
6895,NIHM01000008.1
6896,NIHM01000059.1
6897,NIHM01000013.1
6898,NIHM01000005.1
6899,NIHM01000001.1
6900,NIHM01000007.1
6901,NIHM01000020.1
6902,NIHM01000010.1
6904,NIHM01000030.1
6905,NIHM01000012.1
6906,NIHM01000025.1
